doc,A_sent_id,A_speaker,A_text,A_sound_url,A_tokens,A_pos_tags,B_sent_id,B_speaker,B_text,B_sound_url,B_has_verbal_bc,B_tokens,B_pos_tags,B_token_count,B_all_in_lexicon,first_token_form,first_token_lemma,first_token_upos,first_token_deprel,backchannel_type,A_is_question,B_has_content,warnings,keep?
Gos176,Gos176.s766,Am-udel-02284,ja .,https://nl.ijs.si/project/gos20/Gos176/Gos176.s766.mp3,ja,PART,Gos176.s768,Ff-udel-02289,prav .,https://nl.ijs.si/project/gos20/Gos176/Gos176.s768.mp3,0,prav,PART,1,1,prav,prav,PART,root,agreement,0,0,OK,
Gos176,Gos176.s778,Ff-udel-02289,relativno pozno .,https://nl.ijs.si/project/gos20/Gos176/Gos176.s778.mp3,relativno pozno,ADV ADV,Gos176.s780,Ef-udel-02288,"mhm , mhm .",https://nl.ijs.si/project/gos20/Gos176/Gos176.s780.mp3,0,mhm mhm,INTJ INTJ,2,1,mhm,mhm,INTJ,root,continuer,0,0,OK,
Gos176,Gos176.s790,Hm-udel-02291,"tule nisem čisto prepričan , ampak mislim , da so že nekaj tudi takrat takoj snovali , samo kaj , pa ne vem , ne , tako da bi bilo treba malo preveriti , ne .",https://nl.ijs.si/project/gos20/Gos176/Gos176.s790.mp3,tule nisem čisto prepričan ampak mislim da so že nekaj tudi takrat takoj snovali samo kaj pa ne vem ne tako da bi bilo treba malo preveriti ne,ADV AUX ADV ADJ CCONJ VERB SCONJ AUX PART DET PART ADV ADV VERB PART PRON CCONJ PART VERB PART CCONJ SCONJ AUX VERB ADV DET VERB PART,Gos176.s791,Ef-udel-02288,"ja , ja , ja .",https://nl.ijs.si/project/gos20/Gos176/Gos176.s791.mp3,0,ja ja ja,PART PART PART,3,1,ja,ja,PART,root,agreement,0,0,OK,
Gos176,Gos176.s797,Am-udel-02284,"pa lani so , lani bilo samo en dan , ampak to izjemoma , ne , mhm .",https://nl.ijs.si/project/gos20/Gos176/Gos176.s797.mp3,pa lani so lani bilo samo en dan ampak to izjemoma ne mhm,CCONJ ADV AUX ADV VERB PART NUM NOUN CCONJ DET ADV PART INTJ,Gos176.s798,Hm-udel-02291,"ja , mhm .",https://nl.ijs.si/project/gos20/Gos176/Gos176.s798.mp3,0,ja mhm,PART INTJ,2,1,ja,ja,PART,root,agreement,0,0,OK,
Gos184,Gos184.s154,Mf-soro-00808,"na Facebook , ja .",https://nl.ijs.si/project/gos20/Gos184/Gos184.s154.mp3,na Facebook ja,ADP NOUN PART,Gos184.s155,Gm-soro-00806,ja .,https://nl.ijs.si/project/gos20/Gos184/Gos184.s155.mp3,0,ja,PART,1,1,ja,ja,PART,root,agreement,0,0,OK,
Gos184,Gos184.s157,Mf-soro-00808,ker ima dosti ljudi Facebook .,https://nl.ijs.si/project/gos20/Gos184/Gos184.s157.mp3,ker ima dosti ljudi Facebook,SCONJ VERB DET NOUN NOUN,Gos184.s158,Jm-soro-00807,mhm .,https://nl.ijs.si/project/gos20/Gos184/Gos184.s158.mp3,0,mhm,INTJ,1,1,mhm,mhm,INTJ,root,continuer,0,0,OK,
Gos184,Gos184.s159,Mf-soro-00808,"in sem gledala , gor so ribiške družine .",https://nl.ijs.si/project/gos20/Gos184/Gos184.s159.mp3,in sem gledala gor so ribiške družine,CCONJ AUX VERB ADV VERB ADJ NOUN,Gos184.s160,Jm-soro-00807,ja .,https://nl.ijs.si/project/gos20/Gos184/Gos184.s160.mp3,0,ja,PART,1,1,ja,ja,PART,root,agreement,0,0,OK,
Gos184,Gos184.s161,Mf-soro-00808,lovske družine .,https://nl.ijs.si/project/gos20/Gos184/Gos184.s161.mp3,lovske družine,ADJ NOUN,Gos184.s162,Jm-soro-00807,mhm .,https://nl.ijs.si/project/gos20/Gos184/Gos184.s162.mp3,0,mhm,INTJ,1,1,mhm,mhm,INTJ,root,continuer,0,0,OK,
Gos192,Gos192.s76,Am-prod-02325,"sem ti rekel , da sem jaz živel na slovenski obali , ne ?",https://nl.ijs.si/project/gos20/Gos192/Gos192.s76.mp3,sem ti rekel da sem jaz živel na slovenski obali ne,AUX PRON VERB SCONJ AUX PRON VERB ADP ADJ NOUN PART,Gos192.s77,Cf-stra-07534,"ne , res ?",https://nl.ijs.si/project/gos20/Gos192/Gos192.s77.mp3,0,ne res,PART ADV,2,1,ne,ne,PART,discourse,agreement,1,0,A_IS_QUESTION,
Gos192,Gos192.s77,Cf-stra-07534,"ne , res ?",https://nl.ijs.si/project/gos20/Gos192/Gos192.s77.mp3,ne res,PART ADV,Gos192.s78,Am-prod-02325,"ne , ja .",https://nl.ijs.si/project/gos20/Gos192/Gos192.s78.mp3,0,ne ja,PART PART,2,1,ne,ne,PART,root,agreement,1,0,A_IS_QUESTION,
Gos192,Gos192.s84,Am-prod-02325,"ja , najbolj , dobro , tudi Kras je blizu , kar je tudi super , eee , pa veš , tam se ti odpre nekaj , česar , mislim , širina , ja , v bistvu .",https://nl.ijs.si/project/gos20/Gos192/Gos192.s84.mp3,ja najbolj dobro tudi Kras je blizu kar je tudi super eee pa veš tam se ti odpre nekaj česar mislim širina ja v bistvu,PART ADV ADV PART PROPN VERB ADV PRON AUX PART ADJ INTJ CCONJ VERB ADV PRON PRON VERB DET PRON VERB NOUN PART ADP NOUN,Gos192.s85,Bf-stra-02326,ja .,https://nl.ijs.si/project/gos20/Gos192/Gos192.s85.mp3,0,ja,PART,1,1,ja,ja,PART,root,agreement,0,0,OK,
Gos198,Gos198.s228,Af-stra-05596,"kaj zar- , in to niso tiste , ki kažejo tudi razpoloženje , ne ?",https://nl.ijs.si/project/gos20/Gos198/Gos198.s228.mp3,kaj zar- in to niso tiste ki kažejo tudi razpoloženje ne,X X CCONJ DET AUX DET SCONJ VERB PART NOUN PART,Gos198.s229,Bm-prod-05597,"ne , ne .",https://nl.ijs.si/project/gos20/Gos198/Gos198.s229.mp3,0,ne ne,PART PART,2,1,ne,ne,PART,root,agreement,1,0,A_IS_QUESTION,
Gos218,Gos218.s564,Ef-soro-10003,kaj ti to zastopiš ?,https://nl.ijs.si/project/gos20/Gos218/Gos218.s564.mp3,kaj ti to zastopiš,PRON PRON DET VERB,Gos218.s566,Jf-otro-10001,mhm .,https://nl.ijs.si/project/gos20/Gos218/Gos218.s566.mp3,0,mhm,INTJ,1,1,mhm,mhm,INTJ,root,continuer,1,0,A_IS_QUESTION,
Gos218,Gos218.s566,Jf-otro-10001,mhm .,https://nl.ijs.si/project/gos20/Gos218/Gos218.s566.mp3,mhm,INTJ,Gos218.s567,Ef-soro-10003,mm .,https://nl.ijs.si/project/gos20/Gos218/Gos218.s567.mp3,0,mm,INTJ,1,1,mm,mm,INTJ,root,continuer,0,0,OK,
Gos222,Gos222.s285,Jf-prij-01612,"in ne samo , da je bila ena , so prišle dve .",https://nl.ijs.si/project/gos20/Gos222/Gos222.s285.mp3,in ne samo da je bila ena so prišle dve,CCONJ PART PART SCONJ AUX AUX NUM AUX VERB NUM,Gos222.s286,Mf-prij-01630,ah .,https://nl.ijs.si/project/gos20/Gos222/Gos222.s286.mp3,0,ah,INTJ,1,1,ah,ah,INTJ,root,surprise,0,0,OK,
Gos243,Gos243.s89,Pm-prij-09506,"ne , definitivno , glej , saj ne rečem , manjka druga kitara , ne , še posebej pri komadih , ki so narejeni , ne .",https://nl.ijs.si/project/gos20/Gos243/Gos243.s89.mp3,ne definitivno glej saj ne rečem manjka druga kitara ne še posebej pri komadih ki so narejeni ne,PART ADV VERB CCONJ PART VERB VERB ADJ NOUN PART PART ADV ADP NOUN SCONJ AUX ADJ PART,Gos243.s90,Mm-prij-09507,ja .,https://nl.ijs.si/project/gos20/Gos243/Gos243.s90.mp3,0,ja,PART,1,1,ja,ja,PART,root,agreement,0,0,OK,
Gos243,Gos243.s102,Am-prij-09505,"ja , to , to pa res , ja .",https://nl.ijs.si/project/gos20/Gos243/Gos243.s102.mp3,ja to to pa res ja,PART DET DET CCONJ ADV PART,Gos243.s103,Mm-prij-09507,ja .,https://nl.ijs.si/project/gos20/Gos243/Gos243.s103.mp3,0,ja,PART,1,1,ja,ja,PART,root,agreement,0,0,OK,
Gos247,Gos247.s333,Df-star-07526,"na tistem žuru , ki smo imele .",https://nl.ijs.si/project/gos20/Gos247/Gos247.s333.mp3,na tistem žuru ki smo imele,ADP DET NOUN SCONJ AUX VERB,Gos247.s334,Pf-otro-07527,mhm .,https://nl.ijs.si/project/gos20/Gos247/Gos247.s334.mp3,0,mhm,INTJ,1,1,mhm,mhm,INTJ,root,continuer,0,0,OK,
Gos247,Gos247.s340,Df-star-07526,in me ona ni spoznala in jaz tudi ne nje .,https://nl.ijs.si/project/gos20/Gos247/Gos247.s340.mp3,in me ona ni spoznala in jaz tudi ne nje,CCONJ PRON PRON AUX VERB CCONJ PRON PART PART PRON,Gos247.s341,Pf-otro-07527,aja .,https://nl.ijs.si/project/gos20/Gos247/Gos247.s341.mp3,0,aja,INTJ,1,1,aja,aja,INTJ,root,understanding,0,0,OK,
Gos248,Gos248.s188,Bf-ssta-07524,"tu pri nas pa to še jaz nisem naletela , eee , da bi kdo rekel , da ne morem , ne .",https://nl.ijs.si/project/gos20/Gos248/Gos248.s188.mp3,tu pri nas pa to še jaz nisem naletela eee da bi kdo rekel da ne morem ne,ADV ADP PRON CCONJ DET PART PRON AUX VERB INTJ SCONJ AUX PRON VERB SCONJ PART VERB PART,Gos248.s189,Mf-drug-07525,"ja , ja .",https://nl.ijs.si/project/gos20/Gos248/Gos248.s189.mp3,0,ja ja,PART PART,2,1,ja,ja,PART,root,agreement,0,0,OK,
Gos248,Gos248.s190,Bf-ssta-07524,"v glavnem , eee , skušamo pač pomagati , prostovoljstvo je pač , tega je vedno več , ne .",https://nl.ijs.si/project/gos20/Gos248/Gos248.s190.mp3,v glavnem eee skušamo pač pomagati prostovoljstvo je pač tega je vedno več ne,ADP ADJ INTJ VERB PART VERB NOUN VERB PART DET VERB ADV DET PART,Gos248.s191,Mf-drug-07525,"ja , ja .",https://nl.ijs.si/project/gos20/Gos248/Gos248.s191.mp3,0,ja ja,PART PART,2,1,ja,ja,PART,root,agreement,0,0,OK,
Gos249,Gos249.s185,Am-star-02268,"to sam videl in tako , no , ko sem jaz končal Ikš , eee , ja , učili so nas , imeli smo slovnico , estetsko vzgojo , eee , mogel sem prebrati , prečitati kako knjigo .",https://nl.ijs.si/project/gos20/Gos249/Gos249.s185.mp3,to sam videl in tako no ko sem jaz končal Ikš eee ja učili so nas imeli smo slovnico estetsko vzgojo eee mogel sem prebrati prečitati kako knjigo,DET ADJ VERB CCONJ ADV PART SCONJ AUX PRON VERB PROPN INTJ PART VERB AUX PRON VERB AUX NOUN ADJ NOUN INTJ VERB AUX VERB VERB DET NOUN,Gos249.s186,Bf-otro-02269,ja .,https://nl.ijs.si/project/gos20/Gos249/Gos249.s186.mp3,0,ja,PART,1,1,ja,ja,PART,root,agreement,0,0,OK,
Gos249,Gos249.s188,Am-star-02268,"vsaj za pogovorni jezik , da , da ko pridem v trgovino , da kaj kupim , pa kaj ti jaz vem , da se skregamo , pa tako , pač .",https://nl.ijs.si/project/gos20/Gos249/Gos249.s188.mp3,vsaj za pogovorni jezik da da ko pridem v trgovino da kaj kupim pa kaj ti jaz vem da se skregamo pa tako pač,PART ADP ADJ NOUN SCONJ SCONJ SCONJ VERB ADP NOUN SCONJ PRON VERB CCONJ PRON PRON PRON VERB SCONJ PRON VERB CCONJ ADV PART,Gos249.s189,Bf-otro-02269,ja .,https://nl.ijs.si/project/gos20/Gos249/Gos249.s189.mp3,0,ja,PART,1,1,ja,ja,PART,root,agreement,0,0,OK,
Gos274,Gos274.s29,Bm-soro-02171,"si mi povedala , ja , sem pa že vsem povedal , da prideš .",https://nl.ijs.si/project/gos20/Gos274/Gos274.s29.mp3,si mi povedala ja sem pa že vsem povedal da prideš,AUX PRON VERB PART AUX CCONJ PART DET VERB SCONJ VERB,Gos274.s30,Af-soro-02170,"no , fajn .",https://nl.ijs.si/project/gos20/Gos274/Gos274.s30.mp3,0,no fajn,PART ADV,2,1,no,no,PART,discourse,agreement,0,0,OK,
Gos287,Gos287.s44,Bf-prij-01071,"jaz , [name:personal] pa , pa [name:personal] pa [name:personal] smo šle .",https://nl.ijs.si/project/gos20/Gos287/Gos287.s44.mp3,jaz [name:personal] pa pa [name:personal] pa [name:personal] smo šle,PRON PROPN CCONJ CCONJ PROPN CCONJ PROPN AUX VERB,Gos287.s45,Bm-prij-01072,ha .,https://nl.ijs.si/project/gos20/Gos287/Gos287.s45.mp3,0,ha,INTJ,1,1,ha,ha,INTJ,root,surprise,0,0,OK,
Gos287,Gos287.s46,Bf-prij-01071,"pa veš , tako bilo čisto spontano , veš , ker smo se tam srečale pri [name:surname] pa smo šle .",https://nl.ijs.si/project/gos20/Gos287/Gos287.s46.mp3,pa veš tako bilo čisto spontano veš ker smo se tam srečale pri [name:surname] pa smo šle,CCONJ VERB ADV VERB ADV ADV VERB SCONJ AUX PRON ADV VERB ADP PROPN CCONJ AUX VERB,Gos287.s47,Bm-prij-01072,aha .,https://nl.ijs.si/project/gos20/Gos287/Gos287.s47.mp3,0,aha,INTJ,1,1,aha,aha,INTJ,root,understanding,0,0,OK,
Gos287,Gos287.s48,Bf-prij-01071,"pol sem pa jaz lačna postala pa sem rekla , če gremo na pico .",https://nl.ijs.si/project/gos20/Gos287/Gos287.s48.mp3,pol sem pa jaz lačna postala pa sem rekla če gremo na pico,DET AUX CCONJ PRON ADJ VERB CCONJ AUX VERB SCONJ VERB ADP NOUN,Gos287.s49,Bm-prij-01072,"a , fajn .",https://nl.ijs.si/project/gos20/Gos287/Gos287.s49.mp3,0,a fajn,INTJ ADV,2,1,a,a,INTJ,discourse,continuer,0,0,OK,
Gos287,Gos287.s49,Bm-prij-01072,"a , fajn .",https://nl.ijs.si/project/gos20/Gos287/Gos287.s49.mp3,a fajn,INTJ ADV,Gos287.s50,Bf-prij-01071,mmm .,https://nl.ijs.si/project/gos20/Gos287/Gos287.s50.mp3,0,mmm,INTJ,1,1,mmm,mmm,INTJ,root,continuer,0,0,OK,
Gos287,Gos287.s55,Bf-prij-01071,sirova je bila ful boljša .,https://nl.ijs.si/project/gos20/Gos287/Gos287.s55.mp3,sirova je bila ful boljša,ADJ AUX AUX ADV ADJ,Gos287.s56,Bm-prij-01072,aja .,https://nl.ijs.si/project/gos20/Gos287/Gos287.s56.mp3,0,aja,INTJ,1,1,aja,aja,INTJ,root,understanding,0,0,OK,
Gos287,Gos287.s57,Bf-prij-01071,res dobra je bila .,https://nl.ijs.si/project/gos20/Gos287/Gos287.s57.mp3,res dobra je bila,ADV ADJ AUX AUX,Gos287.s58,Bm-prij-01072,"ja , ja .",https://nl.ijs.si/project/gos20/Gos287/Gos287.s58.mp3,0,ja ja,PART PART,2,1,ja,ja,PART,root,agreement,0,0,OK,
Gos287,Gos287.s59,Bf-prij-01071,z [name:personal] sva zamenjali četrt .,https://nl.ijs.si/project/gos20/Gos287/Gos287.s59.mp3,z [name:personal] sva zamenjali četrt,ADP PROPN AUX VERB DET,Gos287.s60,Bm-prij-01072,aja .,https://nl.ijs.si/project/gos20/Gos287/Gos287.s60.mp3,0,aja,INTJ,1,1,aja,aja,INTJ,root,understanding,0,0,OK,
Gos287,Gos287.s60,Bm-prij-01072,aja .,https://nl.ijs.si/project/gos20/Gos287/Gos287.s60.mp3,aja,INTJ,Gos287.s61,Bf-prij-01071,ja .,https://nl.ijs.si/project/gos20/Gos287/Gos287.s61.mp3,0,ja,PART,1,1,ja,ja,PART,root,agreement,0,0,OK,
Gos160,Gos160.s158,Um-nast-00021,"marinado sva še prej ohladila , bog ne daj , da date toplo gor .",https://nl.ijs.si/project/gos20/Gos160/Gos160.s158.mp3,marinado sva še prej ohladila bog ne daj da date toplo gor,NOUN AUX PART ADV VERB NOUN PART VERB SCONJ VERB ADJ ADV,Gos160.s159,Bm-nast-00022,mhm .,https://nl.ijs.si/project/gos20/Gos160/Gos160.s159.mp3,0,mhm,INTJ,1,1,mhm,mhm,INTJ,root,continuer,0,0,OK,
Gos162,Gos162.s496,Am-nast-00509,"jaz ne vem , kako ti zbral , ne , mogoče po šibicah , ne .",https://nl.ijs.si/project/gos20/Gos162/Gos162.s496.mp3,jaz ne vem kako ti zbral ne mogoče po šibicah ne,PRON PART VERB ADV PRON VERB PART ADV ADP NOUN PART,Gos162.s497,Em-nast-00513,"ne , ne , ne .",https://nl.ijs.si/project/gos20/Gos162/Gos162.s497.mp3,0,ne ne ne,PART PART PART,3,1,ne,ne,PART,root,agreement,0,0,OK,
Gos165,Gos165.s178,Bm-novi-02158,"no , po gimnaziji si si zelo želela iti na potovanje po Španiji .",https://nl.ijs.si/project/gos20/Gos165/Gos165.s178.mp3,no po gimnaziji si si zelo želela iti na potovanje po Španiji,PART ADP NOUN AUX PRON ADV VERB VERB ADP NOUN ADP PROPN,Gos165.s179,Af-gost-02157,ja .,https://nl.ijs.si/project/gos20/Gos165/Gos165.s179.mp3,0,ja,PART,1,1,ja,ja,PART,root,agreement,0,0,OK,
Gos179,Gos179.s154,Bm-sode-05588,"torej , kaj , eee , česa je lastnik Dnevnik .",https://nl.ijs.si/project/gos20/Gos179/Gos179.s154.mp3,torej kaj eee česa je lastnik Dnevnik,CCONJ PRON INTJ PRON AUX NOUN NOUN,Gos179.s155,Af-sode-05584,ja .,https://nl.ijs.si/project/gos20/Gos179/Gos179.s155.mp3,0,ja,PART,1,1,ja,ja,PART,root,agreement,0,0,OK,
Gos179,Gos179.s162,Af-sode-05584,to so lastniki Dnevnik .,https://nl.ijs.si/project/gos20/Gos179/Gos179.s162.mp3,to so lastniki Dnevnik,DET AUX NOUN NOUN,Gos179.s163,Bm-sode-05588,"mhm , okej .",https://nl.ijs.si/project/gos20/Gos179/Gos179.s163.mp3,0,mhm okej,INTJ ADV,2,1,mhm,mhm,INTJ,discourse,continuer,0,0,OK,
Gos179,Gos179.s166,Bm-sode-05588,"Dzs itak , ne .",https://nl.ijs.si/project/gos20/Gos179/Gos179.s166.mp3,Dzs itak ne,PROPN PART PART,Gos179.s167,Af-sode-05584,ja .,https://nl.ijs.si/project/gos20/Gos179/Gos179.s167.mp3,0,ja,PART,1,1,ja,ja,PART,root,agreement,0,0,OK,
Gos179,Gos179.s171,Bm-sode-05588,"ja , samo vprašanje , kdo je to v resnici izza tega , ne .",https://nl.ijs.si/project/gos20/Gos179/Gos179.s171.mp3,ja samo vprašanje kdo je to v resnici izza tega ne,PART PART NOUN PRON VERB DET ADP NOUN ADP DET PART,Gos179.s172,Af-sode-05584,mhm .,https://nl.ijs.si/project/gos20/Gos179/Gos179.s172.mp3,0,mhm,INTJ,1,1,mhm,mhm,INTJ,root,continuer,0,0,OK,
Gos189,Gos189.s51,Sf-stud-07534,"ker vse leto sem bila tako lepo zbrana , devet skozi povprečje in vse skupaj .",https://nl.ijs.si/project/gos20/Gos189/Gos189.s51.mp3,ker vse leto sem bila tako lepo zbrana devet skozi povprečje in vse skupaj,SCONJ DET NOUN AUX AUX ADV ADV ADJ NUM ADV NOUN CCONJ DET ADV,Gos189.s52,Pf-prof-07533,mhm .,https://nl.ijs.si/project/gos20/Gos189/Gos189.s52.mp3,0,mhm,INTJ,1,1,mhm,mhm,INTJ,root,continuer,0,0,OK,
Gos216,Gos216.s231,Am-stra-02275,"eee , je , je to v bistvu , eee , tudi , eee , v , potrebno imeti dosti izolirano hišo ali je to bolj podobno klasiki , ne vem , olju , drva , drva , v bistvu ogrevanje na drva ?",https://nl.ijs.si/project/gos20/Gos216/Gos216.s231.mp3,eee je je to v bistvu eee tudi eee v potrebno imeti dosti izolirano hišo ali je to bolj podobno klasiki ne vem olju drva drva v bistvu ogrevanje na drva,INTJ VERB VERB DET ADP NOUN INTJ PART INTJ ADP ADV VERB DET ADJ NOUN CCONJ AUX DET ADV ADJ NOUN PART VERB NOUN NOUN NOUN ADP NOUN NOUN ADP NOUN,Gos216.s232,Bm-prod-02283,"ja , ja , razumem , ja .",https://nl.ijs.si/project/gos20/Gos216/Gos216.s232.mp3,1,ja ja razumem ja,PART PART VERB PART,4,1,ja,ja,PART,discourse,agreement,1,1,A_IS_QUESTION; HAS_CONTENT; HAS_VERBAL_BC,
Gos216,Gos216.s233,Bm-prod-02283,"ne vem , z biomaso je tako , biomaso imate vi zdaj tri vrste , bi rekel , tri vrste , ali imate klasična polena .",https://nl.ijs.si/project/gos20/Gos216/Gos216.s233.mp3,ne vem z biomaso je tako biomaso imate vi zdaj tri vrste bi rekel tri vrste ali imate klasična polena,PART VERB ADP NOUN VERB ADV NOUN VERB PRON ADV NUM NOUN AUX VERB NUM NOUN CCONJ VERB ADJ NOUN,Gos216.s234,Am-stra-02275,mhm .,https://nl.ijs.si/project/gos20/Gos216/Gos216.s234.mp3,0,mhm,INTJ,1,1,mhm,mhm,INTJ,root,continuer,0,0,OK,
Gos216,Gos216.s235,Bm-prod-02283,"j- , ali imate , eee , eee , sekanca ali imate , eee , pelete , ne .",https://nl.ijs.si/project/gos20/Gos216/Gos216.s235.mp3,j- ali imate eee eee sekanca ali imate eee pelete ne,X CCONJ VERB INTJ INTJ NOUN CCONJ VERB INTJ NOUN PART,Gos216.s236,Am-stra-02275,mhm .,https://nl.ijs.si/project/gos20/Gos216/Gos216.s236.mp3,0,mhm,INTJ,1,1,mhm,mhm,INTJ,root,continuer,0,0,OK,
